Zmin,Zmax,radius,to_check
-12000.0,-11760.0,733.9698206014476,All
-11760.0,-11520.0,327.8364322160112,All
-11520.0,-11280.0,418.978969797413,All
-11280.0,-11040.0,1217.3804800028854,All
-11040.0,-10800.0,100.77739572992786,All
-10800.0,-10560.0,1146.0105652997681,All
-10560.0,-10320.0,397.11067677926803,All
-10320.0,-10080.0,361.3900193924105,All
-10080.0,-9840.0,1141.2360073123407,All
-9840.0,-9600.0,761.8840987232028,All
-9600.0,-9360.0,343.15001020246575,All
-9360.0,-9120.0,537.631023223371,All
-9120.0,-8880.0,1204.458860601957,All
-8880.0,-8640.0,990.9969556476833,All
-8640.0,-8400.0,1366.8251227794594,All
-8400.0,-8160.0,85.33417810499004,All
-8160.0,-7920.0,1228.4433425790028,All
-7920.0,-7680.0,216.39318585057686,All
-7680.0,-7440.0,215.7938426944039,All
-7440.0,-7200.0,523.0064933945051,All
-7200.0,-6960.0,349.8970760184849,All
-6960.0,-6720.0,137.12864334739072,All
-6720.0,-6480.0,287.26755033105417,All
-6480.0,-6240.0,741.8661423256226,All
-6240.0,-6000.0,1070.9376515862662,All
-6000.0,-5760.0,853.7162284063343,All
-5760.0,-5520.0,538.5357933915557,All
-5520.0,-5280.0,1157.4056981382007,All
-5280.0,-5040.0,215.43105909294442,All
-5040.0,-4800.0,950.8821744162912,All
-4800.0,-4560.0,154.5856910358066,All
-4560.0,-4320.0,1252.3815495996432,All
-4320.0,-4080.0,381.6384829119171,All
-4080.0,-3840.0,1234.8356924329714,All
-3840.0,-3600.0,208.5902707020341,All
-3600.0,-3360.0,1391.937468687306,All
-3360.0,-3120.0,310.02863858770587,All
-3120.0,-2880.0,471.46587547219366,All
-2880.0,-2640.0,1185.6318713438686,All
-2640.0,-2400.0,894.447801001583,All
-2400.0,-2160.0,390.4303724655896,All
-2160.0,-1920.0,668.9810264660789,All
-1920.0,-1680.0,1152.0485235924998,All
-1680.0,-1440.0,937.1555830451292,All
-1440.0,-1200.0,716.7120182494164,All
-1200.0,-960.0,728.4487926442366,All
-960.0,-720.0,973.0505606423936,All
-720.0,-480.0,688.3699669019052,All
-480.0,-240.0,1252.0687562762967,All
-240.0,0.0,1360.5122652044913,All
0.0,240.0,1327.1486121438802,All
240.0,480.0,963.9541132975028,All
480.0,720.0,1326.90800490508,All
720.0,960.0,194.7030499690243,All
960.0,1200.0,1188.8137007127432,All
1200.0,1440.0,193.78042776428055,All
1440.0,1680.0,568.7281939504668,All
1680.0,1920.0,71.8347037078237,All
1920.0,2160.0,1261.5965799309972,All
2160.0,2400.0,556.9594543121949,All
2400.0,2640.0,0.18996474431094712,All
2640.0,2880.0,317.68514753958306,All
2880.0,3120.0,890.311302208294,All
3120.0,3360.0,1323.1474118560052,All
3360.0,3600.0,0.3073351765407111,All
3600.0,3840.0,147.77468447544848,All
3840.0,4080.0,217.1457242534446,All
4080.0,4320.0,973.7298824773883,All
4320.0,4560.0,1072.0645394536486,All
4560.0,4800.0,562.1517424601443,All
4800.0,5040.0,1351.4207738170514,All
5040.0,5280.0,1162.6544439012775,All
5280.0,5520.0,461.39679433467217,All
5520.0,5760.0,492.15308688191885,All
5760.0,6000.0,372.91673126153717,All
6000.0,6240.0,1341.840304706262,All
6240.0,6480.0,427.68202665441163,All
6480.0,6720.0,341.7278490687258,All
6720.0,6960.0,248.11661613723908,All
6960.0,7200.0,943.7696867866141,All
7200.0,7440.0,994.4586625229216,All
7440.0,7680.0,1348.5097690222294,All
7680.0,7920.0,321.9551401953645,All
7920.0,8160.0,1296.7854331445585,All
8160.0,8400.0,711.4048609566873,All
8400.0,8640.0,817.5203791396832,All
8640.0,8880.0,745.8214391396386,All
8880.0,9120.0,590.3192491883913,All
9120.0,9360.0,232.6105685703309,All
9360.0,9600.0,472.41730046438454,All
9600.0,9840.0,890.6578675931842,All
9840.0,10080.0,719.9685409169338,All
10080.0,10320.0,787.7740429423852,All
10320.0,10560.0,1040.4311515732113,All
10560.0,10800.0,655.4140978613685,All
10800.0,11040.0,380.2692429933924,All
11040.0,11280.0,694.4572950644299,All
11280.0,11520.0,988.7345593690576,All
11520.0,11760.0,1134.5173659650295,All
11760.0,12000.0,528.4932079137916,All
